"Id","Tags"
648883,"14"
877687,"13,14,15"
292410,"9,11,12"
827370,"9,14,16"
326087,"9,11,12"
311612,"13,14,15"
113129,"9,11,12"
932904,"9,11,12"
124157,"11,12,14"
228552,"2,3,4,7"
126059,"2,6,16"
131564,"8,9,14"
517228,"1,3,4"
784820,"2,6,16"
199043,"9,13,15"
587424,"9,11,12"
921601,"15,16,18"
432515,"3,4,6"
898991,"13,14"
195027,"14,15"
723599,"9,10,11,12,13,14"
441361,"13"
107662,"14"
733989,"13"
432443,"16,17,18"
176570,"1,2,3,5"
372615,"1,2,3,5"
489599,"1,2,3,5"
745475,"1,2,3,5"
950867,"1,2,3,5"
846545,"15"
656298,"15"
820326,"15"
479281,"14,15"
653321,"2,3,4"
165264,"14,15"
883675,"14,15"
161477,"8"
407442,"8"
775469,"8"
616147,"22"
958153,"22"
697189,"3,4,6"
507399,"22"
201075,"22"
704220,"4,6"
401221,"3,4,6"
286657,"1,2,3,4,7"
965587,"9,12"
331296,"9,10,11,12,13"
868833,"1,5"
601061,"1,9,13"
682423,"9,12"
769885,"2,4,5"
275853,"9,10,11,12,13"
140042,"1,2,3,4,7"
360880,"1,2,3,5"
850483,"10,11,12,13"
424824,"1,3,4,7"
375467,"9,10,11,12,13"
414821,"1,2,3,12,13,14,15"
496546,"13,14,15"
711495,"2,4,6"
770256,"4,6"
777046,"1,2,3,5"
130835,"1,2,3,5"
831238,"1,2,3,7"
891167,"13"
720081,"9,10,11,13"
207024,"18,20,21"
299035,"18,20"
196733,"2,4,6"
970705,"3,4"
831890,"12,13,14,15,17"
128087,"13"
266340,"1,2,3,5"
459627,"13"
805735,"13"
342528,"2,3,4,6"
191771,"4,19"
196623,"2,3,4,7"
331044,"4"
229438,"2,3,4,6,7,9"
152774,"1,2,3,5"
676421,"18,19,20"
106188,"1,3,7"
929604,"2,3,4,7"
739809,"1,2,3,5"
152392,"1,2,3,4,7"
844639,"9,10,11,12,13,14"
925873,"1,2,3,4,7"
289564,"9,11,12"
129727,"1,3,4,7"
528752,"1,3,4,7"
820574,"2,4,6"
265387,"2,4,6"
958609,"2,3,4,6"
770170,"2,3,4,5"
615414,"4,6,18"
615371,"18,19,20"
672514,"1,2,3,5"
213420,"2,4,6"
452231,"3,4,6"
188547,"2,4,6"
335098,"2,4,6"
572919,"3,4"
806175,"2,3,4"
859308,"1,2,3,4,7"
260289,"1,2,3,5"
132006,"2,13,14,15,16"
213192,"3,4,5"
723399,"1,2,3,5"
750637,"1,3,7"
221021,"1,2,3,5"
691699,"1,2,3,5"
112832,"1,7"
625673,"1,3,7"
631691,"1,2,3,5"
204226,"1,2,3,5"
824345,"2,4,6"
715835,"1,2,3,5"
443705,"1,2,3,5"
957964,"11,12"
450480,"1,2,3,5"
930187,"1,2,3,5"
467581,"1,3,6,11,12"
366333,"1,2,3,5"
992964,"1,2,3,5"
962195,"1,2,3,5"
126399,"1,2,3,5"
598162,"1,2,3,5"
197961,"1,2,3,5"
931664,"1,2,3,5"
545412,"1,2,3,5"
755016,"1,3,4,6"
708729,"1,2,3,5"
891707,"2,3,6,11"
516585,"1,2,3,5"
897781,"3,5,7"
148271,"1,2,3,5"
927834,"3,7"
879950,"1,2,3,5"
322220,"1,2,3,5"
563837,"1,2,3,5"
554262,"3,5,7"
951668,"3,4,6"
537829,"9,12,13,14"
883002,"1,3,7,9"
917914,"1,2,3,5"
227804,"1,2,3,5"
928073,"1,2,3,5"
721688,"1,2,3,5"
341412,"1,2,3,4,7,9"
207141,"1,2,3,5"
960907,"1,2,3,4,6,7,9"
693072,"1,2,3,12,13,14,15"
303350,"1,3,7"
104738,"2,3,4,6,7"
133470,"2,3,4,6"
274391,"1,2,3,5"
251013,"2,6,18"
299185,"2,3,4,5,6"
470793,"2,3,4"
228137,"2,3,4,7"
246243,"2,3,4,6,7"
562184,"1,2,3,5"
498739,"2,3,4,5,6"
934613,"2,3,4,7"
637717,"1,2,3,7"
939682,"1,2,3,5"
480760,"1,2,3,7"
156464,"13,16,17"
288822,"2,3,4,7"
871687,"2,3,4,7"
265458,"1,2,3,7"
370509,"1,9,14"
761356,"1,3,6"
776089,"1,2,3,5"
463612,"1,3,9,11,12"
860072,"1,2,3,5"
568229,"2,3,4,7"
306487,"3,4,7"
606707,"1,3,7"
661463,"1,2,3,5"
505870,"1,2,3,7"
102220,"1,2,3,7,9,17"
821293,"1,2,3,5"
