id,category
1,airport
2,aquarium
3,architecture
4,attraction
5,bar
6,beach
7,bridge
8,camping
9,carnival
10,carRental
11,cinema
12,club
13,concert
14,culture
15,dessert
16,fishing
17,food
18,gym
19,hiking
20,history
21,hotel
22,library
23,market
24,museum
25,music
26,nature
27,night
28,other
29,outdoors
30,park
31,pharmacy
32,photography
33,pub
34,religious
35,science
36,shopping
37,skiing
38,spa
39,sport
40,stadium
41,surfing
42,tech
43,theater
44,train
45,university
46,wine
47,zoo
